CPS_Aspect,CPS_Concern,CPS_Property,Level,Pad,To Pad,Sum
trustworthiness,,,1,1,1,6
trustworthiness,privacy,,2,1,1,1
trustworthiness,,,1,1,1,6
trustworthiness,reliability,,2,1,1,1
trustworthiness,,,1,1,1,6
trustworthiness,security,,2,1,1,2
trustworthiness,security,cybersecurity,3,1,1,1
trustworthiness,,,1,1,1,6
trustworthiness,security,,2,1,1,2
trustworthiness,security,physicalsecurity,3,1,1,1
trustworthiness,,,1,1,1,6
trustworthiness,resilience,,2,1,1,1
trustworthiness,,,1,1,1,6
trustworthiness,safety,,2,1,1,1
boundaries,,,1,1,1,3
boundaries,behavioral,,2,1,1,1
boundaries,,,1,1,1,3
boundaries,networkability,,2,1,1,1
boundaries,,,1,1,1,3
boundaries,responsibility,,2,1,1,1
trustworthiness,,,1,203,203,6
trustworthiness,privacy,,2,203,203,1
trustworthiness,,,1,203,203,6
trustworthiness,reliability,,2,203,203,1
trustworthiness,,,1,203,203,6
trustworthiness,security,,2,203,203,2
trustworthiness,security,cybersecurity,3,203,203,1
trustworthiness,,,1,203,203,6
trustworthiness,security,,2,203,203,2
trustworthiness,security,physicalsecurity,3,203,203,1
trustworthiness,,,1,203,203,6
trustworthiness,resilience,,2,203,203,1
trustworthiness,,,1,203,203,6
trustworthiness,safety,,2,203,203,1
boundaries,,,1,203,203,3
boundaries,behavioral,,2,203,203,1
boundaries,,,1,203,203,3
boundaries,networkability,,2,203,203,1
boundaries,,,1,203,203,3
boundaries,responsibility,,2,203,203,1
